GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gsvg,se.alipsa.groovy.svg.css,CssParser._parseStyleSheet_closure1._closure6._closure7,0,36,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg.css,CssStyleSheet,0,114,0,6,0,19,0,15,0,12
gsvg,se.alipsa.groovy.svg.css,CssParser._toInlineStyle_closure5,0,35,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg.css,CssParser,119,214,23,31,7,27,24,9,1,5
gsvg,se.alipsa.groovy.svg.css,CssRule._toString_closure1,0,35,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg.css,CssStyleSheet._toString_closure4,0,11,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg.css,CssStyleSheet._findFirstBySelector_closure3,0,21,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg.css,CssStyleSheet._removeRule_closure1,0,21,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg.css,CssParser._parseRule_closure2,0,36,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg.css,CssParser._parseInlineStyleSimple_closure4,71,0,10,0,7,0,8,0,3,0
gsvg,se.alipsa.groovy.svg.css,CssStyleSheet._findBySelector_closure2,0,21,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg.css,CssParser._parseStyleSheet_closure1,0,32,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg.css,CssRule,13,179,7,19,0,15,7,12,0,6
gsvg,se.alipsa.groovy.svg.css,CssParser._parseInlineStyle_closure3,0,36,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg.css,CssParser._parseStyleSheet_closure1._closure6,0,51,0,0,0,4,0,3,0,3
gsvg,se.alipsa.groovy.svg.templates,Template,4,26,0,4,1,6,1,4,1,2
gsvg,se.alipsa.groovy.svg.templates,ChartLegend,0,349,0,4,0,27,0,5,0,3
gsvg,se.alipsa.groovy.svg.templates,ChartLegend._apply_closure1,0,152,0,0,0,6,0,3,0,3
gsvg,se.alipsa.groovy.svg.utils,SvgMerger,33,563,22,94,2,86,22,42,0,6
gsvg,se.alipsa.groovy.svg.utils,NumberFormatter.__clinit__lambda1,0,11,0,0,0,1,0,2,0,2
gsvg,se.alipsa.groovy.svg.utils,ViewBox,80,832,17,87,2,72,17,57,0,22
gsvg,se.alipsa.groovy.svg.utils,SvgMerger.SvgDimensions,0,16,0,0,0,4,0,1,0,1
gsvg,se.alipsa.groovy.svg.utils,Color,167,2430,36,96,10,151,34,57,0,25
gsvg,se.alipsa.groovy.svg.utils,PathBuilder,95,1017,8,14,9,52,17,45,9,42
gsvg,se.alipsa.groovy.svg.utils,NumberFormatter,10,173,7,41,1,24,7,22,0,5
gsvg,se.alipsa.groovy.svg.effects,Effects._glow_closure1,19,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg.effects,Effects,488,0,44,0,55,0,32,0,10,0
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addFontFaceName_closure33,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addPath_closure11,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,Animatable.Trait.Helper._getAnimations_closure5,0,11,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,MeshRow,5,5,0,0,2,2,1,1,1,1
gsvg,se.alipsa.groovy.svg,AbstractPoly._toAttributeValues_closure1,0,11,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,GradientContainer.Trait.Helper._addRadialGradient_closure2,0,21,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,AltGlyphDef,10,0,0,0,4,0,2,0,2,0
gsvg,se.alipsa.groovy.svg,AbstractPoly._toAttributeValues_closure2,0,13,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,Path,97,96,0,0,0,8,22,10,22,10
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addText_closure15,0,21,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,Polyline,12,30,4,4,2,8,5,3,1,3
gsvg,se.alipsa.groovy.svg,Animatable.Trait.Helper._addAnimate_closure1,0,21,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,SvgElement,304,1136,46,128,26,173,51,123,17,70
gsvg,se.alipsa.groovy.svg,Filter._addFeSpecularLighting_closure17,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addLine_closure9,0,21,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,Hatch,5,5,0,0,2,2,1,1,1,1
gsvg,se.alipsa.groovy.svg,FeMergeNode,15,12,0,0,4,3,3,2,3,2
gsvg,se.alipsa.groovy.svg,FeComponentTransfer._addFeFuncB_closure2,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,Svg._addScript_closure4,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,Animate,29,181,0,0,3,30,2,29,2,29
gsvg,se.alipsa.groovy.svg,Filter._addFeColorMatrix_closure4,0,21,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,Audio,5,5,0,0,2,2,1,1,1,1
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addVkern_closure38,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,FeComponentTransfer._addFeFuncG_closure3,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addAudio_closure26,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,MeshPatch,5,5,0,0,2,2,1,1,1,1
gsvg,se.alipsa.groovy.svg,Filter._addFeOffset_closure11,0,21,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addFontFaceUri_closure32,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,Switch,5,35,0,0,2,8,1,7,1,7
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addColorProfile_closure17,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,FeImage,66,56,3,3,9,8,8,4,6,3
gsvg,se.alipsa.groovy.svg,Font,5,5,0,0,2,2,1,1,1,1
gsvg,se.alipsa.groovy.svg,Defs._addMarker_closure1,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,Animatable.Trait.Helper._addAnimateTransform_closure3,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addCursor_closure18,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,FeDisplacementMap,38,35,0,0,9,7,8,6,8,6
gsvg,se.alipsa.groovy.svg,ElementContainer.Trait.Helper._findFirst_closure4,0,20,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,Svg._addSymbol_closure6,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,FeSpotLight,51,35,0,0,11,7,10,6,10,6
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addPolyline_closure13,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addUse_closure16,20,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,FilterElement,17,98,0,0,4,14,3,13,3,13
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addImage_closure8,0,20,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,MetadataElement,19,28,0,0,2,6,1,4,1,4
gsvg,se.alipsa.groovy.svg,AnimateMotion._addMpath_closure1,20,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,Tspan._dy_closure4,10,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,FeMerge,25,19,0,0,5,4,2,3,2,3
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addHatchPath_closure25,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,Tspan._dy_closure3,0,12,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,Filter._addFeImage_closure6,20,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,SvgElement._addDesc_closure6,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,FeSpecularLighting,31,98,0,0,2,11,4,18,4,18
gsvg,se.alipsa.groovy.svg,Filter._addFeDropShadow_closure15,0,21,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,GlyphRef,10,0,0,0,4,0,2,0,2,0
gsvg,se.alipsa.groovy.svg,ColorProfile,5,5,0,0,2,2,1,1,1,1
gsvg,se.alipsa.groovy.svg,Defs._addPattern_closure2,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,Filter._addFeConvolveMatrix_closure8,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,FontFaceUri,10,0,0,0,4,0,2,0,2,0
gsvg,se.alipsa.groovy.svg,Metadata,33,30,0,0,7,6,4,3,4,3
gsvg,se.alipsa.groovy.svg,AnimateTransform,29,65,0,0,3,14,2,13,2,13
gsvg,se.alipsa.groovy.svg,Filter._addFeMerge_closure10,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addHkern_closure37,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addCircle_closure3,0,21,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,Vkern,5,5,0,0,2,2,1,1,1,1
gsvg,se.alipsa.groovy.svg,Filter._addFeMorphology_closure16,0,21,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,Tref,10,0,0,0,4,0,2,0,2,0
gsvg,se.alipsa.groovy.svg,FeDistantLight,25,17,0,0,6,4,5,3,5,3
gsvg,se.alipsa.groovy.svg,Svg._addMetadata_closure3,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addPolygon_closure12,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,ElementContainer.Trait.Helper._findAll_closure3,0,20,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,Video,5,5,0,0,2,2,1,1,1,1
gsvg,se.alipsa.groovy.svg,FeComposite,5,113,0,0,2,22,1,21,1,21
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addFontFace_closure30,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addG_closure7,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addMeshGradient_closure20,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,Title,5,5,0,0,2,2,1,1,1,1
gsvg,se.alipsa.groovy.svg,Symbol,42,116,4,0,7,23,7,22,5,22
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addAltGlyph_closure40,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addMeshPatch_closure23,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,StringContentContainer,5,43,0,0,2,13,1,7,1,7
gsvg,se.alipsa.groovy.svg,HatchPath,5,5,0,0,2,2,1,1,1,1
gsvg,se.alipsa.groovy.svg,Filter._addFeComposite_closure7,0,21,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,RadialGradient,125,89,0,0,7,15,6,14,6,14
gsvg,se.alipsa.groovy.svg,Filter._addFeTile_closure12,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addDiscard_closure28,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,LightSourceElement,5,5,0,0,2,2,1,1,1,1
gsvg,se.alipsa.groovy.svg,FeDiffuseLighting,39,42,0,0,2,2,6,7,6,7
gsvg,se.alipsa.groovy.svg,In,0,110,0,0,0,0,0,1,0,1
gsvg,se.alipsa.groovy.svg,GradientContainer.Trait.Helper._addLinearGradient_closure1,0,21,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,Rect,46,110,5,3,7,24,7,18,3,18
gsvg,se.alipsa.groovy.svg,Set,21,29,0,0,6,6,5,5,5,5
gsvg,se.alipsa.groovy.svg,Svg,302,422,10,4,29,49,30,57,25,55
gsvg,se.alipsa.groovy.svg,SvgElement._style_closure3,0,24,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,FeMorphology.Operator,0,42,0,0,0,0,0,1,0,1
gsvg,se.alipsa.groovy.svg,ElementContainer.Trait.Helper._getAt_lambda1,0,17,0,0,0,1,0,2,0,2
gsvg,se.alipsa.groovy.svg,ElementContainer.Trait.Helper._getAt_lambda2,0,17,0,0,0,1,0,2,0,2
gsvg,se.alipsa.groovy.svg,Line,29,85,0,0,6,20,5,14,5,14
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addHatch_closure24,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,SvgElement._cloneWith_closure1,0,20,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,FilterFunction,74,54,0,0,16,10,15,9,15,9
gsvg,se.alipsa.groovy.svg,FeBlend,12,42,0,0,3,9,2,8,2,8
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addTref_closure43,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,Mesh,10,0,0,0,4,0,2,0,2,0
gsvg,se.alipsa.groovy.svg,FeFuncR,5,5,0,0,2,2,1,1,1,1
gsvg,se.alipsa.groovy.svg,FontFaceName,10,0,0,0,4,0,2,0,2,0
gsvg,se.alipsa.groovy.svg,Stop,12,47,0,0,3,10,2,9,2,9
gsvg,se.alipsa.groovy.svg,Coordinate,36,72,0,0,12,10,7,4,7,4
gsvg,se.alipsa.groovy.svg,Filter._addFeGaussianBlur_closure1,0,21,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,AbstractElementContainer._addFontFaceFormat_closure34,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,AbstractPoly,5,121,0,8,2,21,1,13,1,9
gsvg,se.alipsa.groovy.svg,FeFuncG,5,5,0,0,2,2,1,1,1,1
gsvg,se.alipsa.groovy.svg,FeFuncA,5,5,0,0,2,2,1,1,1,1
gsvg,se.alipsa.groovy.svg,FeFuncB,5,5,0,0,2,2,1,1,1,1
gsvg,se.alipsa.groovy.svg,Glyph,5,5,0,0,2,2,1,1,1,1
gsvg,se.alipsa.groovy.svg,ElementContainer.Trait.Helper._xpath_closure5,0,22,0,0,0,1,0,3,0,3
gsvg,se.alipsa.groovy.svg,Filter._addFeComponentTransfer_closure5,21,0,0,0,1,0,3,0,3,0
gsvg,se.alipsa.groovy.svg,FeFlood,18,25,0,0,4,6,3,5,3,5
gsvg,se.alipsa.groovy.svg,Cursor,5,5,0,0,2,2,1,1,1,1
